News_title,Sentiment(MaxEntropy),Sentiment(VADER),Sentiment(SparkNLP)
MSMEs call for moratorium to restart business,2,2,0
Rethinking tourism with travel tech | The Edge Markets,2,2,1
Why Are We Spending So Much Right Now,2,2,0
Why Are We Spending So Much Right Now,2,2,0
"Issue of film industry royalty to be reviewed, says PM",2,2,1
Issue of film practitioner royalty should be reviewed: PM,2,2,1
OPINION | Hilman's Blurry Understanding of Economics,2,0,0
"Selangor Journal: Selangor records over RM2.1 bln in revenue from Jan to Oct, surpassing target - MB",2,2,1
Selangor Surpasses Revenue Targets For 3rd Time Reaching RM2.1 Billion From Jan To Oct,2,1,0
"Selangor surpasses revenue target, records RM2. 065 bln",2,2,1
"ICT contributed 23.2% of GDP in 2021, DOSM reveals | The Edge Markets",2,2,1
NST Leader: Transport sector on budget?,2,2,1
Malaysians use credit cards more and borrow more | The Edge Markets,2,1,1
Digitalisation Imperatives for SMEs in Malaysia,2,2,1
Malaysians use credit cards more and borrow more,2,1,1
Stats Dept sees Malaysia's real GDP expanding 5.1pc in 2022,2,2,1
"Tourism industry generates RM197.9 bln GVATI in 2021, contributes 12.8 pct to GDP - DOSM",2,2,1
DOSM: Domestic Tourism Dominated With 97.4% To Tourism Expenditure In 2021,2,2,1
"Seeking balanced development for Sabah, Sarawak By Mohammad Zulhafiy Zol Bahari",2,2,0
Budget 2023 wishlist : SMEs call for more automation and digitalisation grants,2,1,1
Budget 2023 wishlist : SMEs call for more automation and digitalisation grants,2,1,1
Sabah and Sarawak: The journey to a more inclusive Malaysia (Part 2) By Amanda Yeo,2,2,1
Sabah and Sarawak: The journey to a more inclusive Malaysia (Part 2),2,2,1
There are more men in Melaka,2,2,1
The people of Melaka are more male,2,2,1
PARTNER IN MSMEs' DIGITAL JOURNEY,2,2,1
PARTNER IN MSMEs' DIGITAL JOURNEY,2,2,1
Malaysia's labour productivity up 5.5% in Q2 2022 - DOSM | The Edge Markets,2,2,1
Malaysia's labour productivity 5.5 pct up in Q2 2022 - DoSM,2,2,1
"Sarawak plans to increase the area of ​​state assembly, parliament",2,1,1
More rate hikes ahead after GDP's surprise upside in 2Q,2,1,1
Core inflation is projected at upper range,2,2,0
More rate hikes ahead after GDP's surprise upside in Q2,2,1,1
Ringgit ends higher against US dollar for fourth consecutive day,2,2,1
Ringgit ends higher against US dollar for fourth consecutive day,2,2,1
Core inflation forecast at upper range of 2% to 3% in 2022,2,2,0
BNM: Core inflation forecast at upper range of 2-3 pct in 2022,2,2,1
Core inflation forecast at upper range of 2% to 3% in 2022,2,2,0
Malaysia has fiscal space to manage price pressures,2,0,1
Tengku Zafrul: Malaysia's inflation may reach 'around 11%' in subsidies' absence | The Edge Markets,2,1,1
SME's GDP 1.0 pct up in 2021 but slower than Malaysia's 3.1 pct -- DoSM,2,2,1
Compensation Of Employees Contributed 34.8% Of The Nominal GDP,2,2,1
"Compensation of employees contributes 34.8 pct to the nominal GDP, says DoSM",2,2,1
GFCF Declined Marginally to RM278.7b in 2021 - DOSM,2,2,0
GFCF declined marginally to RM278.7b in 2021 - DOSM | The Edge Markets,2,2,1
Gross Fixed Capital Formation In 2021 Declines Marginally TO RM278.7 Billion In 2021-DOSM,2,0,0
Stats Dept: Malaysia's Gross Fixed Capital Formation declines marginally to RM278.7b in 2021,2,0,0
GFCF declines marginally to RM278. 7bil in 2021,2,2,0
GFCF declines marginally to RM278.7 bln in 2021 -- DoSM,2,2,0
GFCF recorded RM278.7b in 2021,2,2,1
Private household size in Kelantan the highest in Malaysia: DOSM,2,2,1
Private household size in Kelantan the highest in Malaysia - DOSM,2,2,1
"Kelantan's average household size is 4.9 people, the highest in Malaysia: DOSM",2,2,0
"Kelantan's average household size is 4.9 people, the highest in Malaysia - DoSM",2,2,0
"The average household size in Kelantan is 4.9 people, the highest in Malaysia",2,2,1
"Kelantan has largest private household size in Malaysia, says Statistics Dept",2,2,1
"Malaysia should continue to revitalise economy, increase competitiveness",2,1,1
"Malaysia should continue to revitalise economy, increase competitiveness -- IMD",2,1,1
MIDF Research: Malaysia's retail trade sales set to expand by +10.5pc,2,1,1
Pushing batik production creates jobs,2,1,1
"Malaysia Digital shows country's readiness to be at forefront of digital economy, says Annuar",2,1,1
The halal industry has a place in society,2,2,0
The national economy is expected to increase this year,2,1,1
Malaysia's sports industry contributed RM18.8b in 2017 - that's just the tip of the iceberg,2,2,1
Malaysia experiences boom in non-exec labour market post-pandemic,2,2,1
Govt to foster agriculture sector to expedite structural transformation,2,2,1
'Holistic approach needed for structural reforms',2,2,1
"Holistic approach needed for structural reforms, GST reinstatement: Economists",2,2,0
"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,2,0
"Holistic approach needed for reinstatement of GST, structural reforms, Putrajaya told",2,2,0
"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,2,0
"GST level of long-term economic resilience, ringgit",2,2,1
"Holistic approach needed for structural reforms, GST reinstatement - Economists",2,2,0
"Holistic approach needed for structural reforms, GST reinstatement: Economists",2,2,0
Malaysia's economy expected to expand further after favourable performance in 1Q22 - DOSM,2,1,1
Malaysia's economy expected to expand further after favourable performance in Q1 2022: DOSM,2,1,1
Malaysia's economy expected to expand further after favourable performance in Q1 2022 -- DoSM,2,1,1
Malaysia's economy is expected to expand further after favourable performance in Q1 2022,2,1,1
Malaysia's economy expected to expand further after favourable performance in first quarter 2022,2,1,1
DOSM: Malaysia's economy expected to expand further after favourable performance in Q1 2022,2,1,1
Stats Dept: Malaysia's economy expected to expand further after favourable performance in Q1 2022,2,1,1
"SMA, LSD to create big data for state's land",2,1,1
Let's move Sarawak's digital economy together,2,2,1
"Premier: SMA, Land and Survey building big data for land in Sarawak",2,2,1
Sarawak Premier calls on Sarawakians to mobilise digital economy,2,2,1
Sarawak Premier calls on Sarawakians to mobilise digital economy,2,2,1
The people must move the digital economy together - Premier Sarawak,2,2,1
Reasons Seven Days Paternity Leave Is Not Enough,2,0,0
Reasons why seven days paternity leave is not enough,2,0,0
Reasons why seven days paternity leave is not enough,2,0,0
DOSM launches OpenDOSM as alternative to open data access,2,2,1
RHB Research sees Tasco on track for record-breaking year,2,2,1
Malaysia Targets RM77 Billion Revenue From International Tourists By 2025,2,2,1
MDEC eyes over RM1t e-commerce income again,2,2,0
"Malaysia's e-commerce income can breach RM1 tril again this year, says MDEC",2,2,0
Malaysia's e-commerce income can breach RM1 trillion again this year - MDEC,2,2,1
Malaysia's e-commerce income can breach RM1 trillion again this year - MDEC,2,2,1
MDEC: Malaysia's e-commerce income can breach RM1t again this year,2,2,1
Is Malaysia entering a high inflation cycle,2,2,1
Covid-19 affects household income in Sarawak,2,2,0
Socso forsees job markets returning to pre-COVID levels soon,2,2,1
Socso expects job market to return to pre-pandemic level,2,2,0
Socso expects job market to return to pre-pandemic level soon,2,2,1
The need for fiscal reforms supersedes oil price windfall - Economists,2,2,0
Socso expects job market to return to pre-pandemic level,2,2,0
Political and economic stability must,2,2,1
Creating an environment to drive Malaysia's business forward By Amien Jamaluddin,2,1,1
What Johoreans need are economic and political stability,2,2,0
Government Launches SemarakNiaga An RM40 Billion Business Financing Program,2,2,1
"Govt Allocating RM4.8 Billion To Create 600,000 Jobs",2,1,0
Government maintains GDP projection of 5.5 percent to 6.5 percent for 2022 - Tengku Zafrul,2,2,1
Government maintains GDP projection of 5.5 percent to 6.5 percent for 2022 - Tengku Zafrul,2,2,1
'2021 economy smaller than PH's last year',2,2,1
"GDP in 2021 recorded 3.1%, the government's measures yielded results",2,2,1
"""The Malaysian Employers Federation is full of baloney!""",2,2,0
Govt taking bold decisions to put economy back in growth trajectory -- Juwai IQI,2,1,1
Fast Track Your Career In Accountancy With AAT,2,2,1
Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,2,1
Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,2,1
Minister: Census shows Malaysia's oldest man and woman aged 120 and 118; preliminary census findings to be released in Feb 2022,2,2,1
"E-commerce, food delivery services GMV expand by US$7 bln in 2021",2,1,1
"E-commerce, food delivery services GMV expand by US$7b in 2021 - Mustapa",2,1,1
"E-commerce, food delivery services GMV expand by US$7 bln in 2021 - Mustapa",2,1,1
Retail trade to expand 5.5% this year: MIDF Research,2,1,1
"Retail trade to expand 5.5% in 2022, says MIDF Research",2,1,1
Retail trade to expand 5.5 pct in 2022 - MIDF Research,2,1,1
