,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
0,1,2022-11-17 00:00:00,Theborneopost,MSMEs call for moratorium to restart business,2,[],[],2022,November,17,0.0,2,0,-0.99970123927
1,2,2022-11-02 00:00:00, Theedgemalaysia,Rethinking tourism with travel tech | The Edge Markets,2,[],[],2022,November,02,0.0,2,1,0.9999459197270001
2,3,2022-11-02 00:00:00,Newsmalaysiamsn,Why Are We Spending So Much Right Now,2,[],[],2022,November,02,0.0,2,0,-0.9999999999316883
3,4,2022-11-02 00:00:00, The Rakyat Post,Why Are We Spending So Much Right Now,2,[],[],2022,November,02,0.0,2,0,-0.9999999999316883
4,5,2022-10-24 00:00:00,The Malaysian Insight,"Issue of film industry royalty to be reviewed, says PM",2,[],[],2022,October,24,0.0,2,1,0.99999953073986
5,6,2022-10-24 00:00:00,Thesundaily,Issue of film practitioner royalty should be reviewed: PM,2,[],[],2022,October,24,0.0,2,1,0.9999999986914594
6,7,2022-10-19 00:00:00,Selangor Journal,OPINION | Hilman's Blurry Understanding of Economics,2,[],"['Blurry', -0.1027]",2022,October,19,-0.103,0,0,-0.9999933200023999
7,8,2022-10-19 00:00:00,Amiruddin Shari,"Selangor Journal: Selangor records over RM2.1 bln in revenue from Jan to Oct, surpassing target - MB",2,[],[],2022,October,19,0.0,2,1,0.9999999999232309
8,9,2022-10-18 00:00:00,Business Today,Selangor Surpasses Revenue Targets For 3rd Time Reaching RM2.1 Billion From Jan To Oct,2,"['Reaching', 0.2023]",[],2022,October,18,0.202,1,0,-0.9960638360999999
9,10,2022-10-14 00:00:00,Selangor Journal,"Selangor surpasses revenue target, records RM2. 065 bln",2,[],[],2022,October,14,0.0,2,1,0.9995400133500001
10,11,2022-10-14 00:00:00, Theedgemalaysia,"ICT contributed 23.2% of GDP in 2021, DOSM reveals | The Edge Markets",2,[],[],2022,October,14,0.0,2,1,0.999999999694406
11,12,2022-10-13 00:00:00, New Strait Times,NST Leader: Transport sector on budget?,2,[],[],2022,October,13,0.0,2,1,0.9999997959428351
12,13,2022-10-04 00:00:00,Theedgemalaysia,Malaysians use credit cards more and borrow more | The Edge Markets,2,"['credit', 0.3818]",[],2022,October,04,0.382,1,1,0.999999977781767
